"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript JSX", "TypeScript JSX", "Markdown", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-fried-egg.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-hamburger.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-hot-dog.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 1, 12
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-knife-and-fork.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 1, 17
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-meat-beef-stake-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 1, 15
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-meat-chicken-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-pizza-slice-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 1, 24
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-taco-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-wine-and-glass.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 1, 14
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\history.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\home.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\image.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\info-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\info.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\key.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\libro-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
